District,Latitude,Longitude,SubRetailer Draw ID
Bakı Market Salyan,39.5139252,48.9246819,11604.0345
Bakı Kafe Salyan,39.5139278,48.9246401,11604.5355
Mərəzə Market Şamaxı,40.5329505,48.9243461,11604.1432
Vüqar Market Şirvan,39.9411399,48.9227477,11604.0446
Qardaşlar Market Niyazabad kənd Xaçmaz,41.5176871,48.9191363,11604.191
Şamil Market Şirvan,39.9433235,48.9170218,11604.0445
Dost Market Şamaxı,40.5342318,48.9149988,11604.4924
Bizim Market Azadkənd Salyan,39.8181795,48.9096992,11604.2075
Çay evi Yaşar Şirvan,39.9332927,48.9075764,11604.1237
Gəndov Market Şabran,41.2587483,48.9050163,11604.0426
Elnur Market Şirvan,39.9474172,48.8933747,11604.0011
Ailə Market Çarxı kənd Xaçmaz,41.3968181,48.8781089,11604.195
Mehman Axundov Aydın,38.4503526,48.8742951,11604.8327
Məhəllə Market Astara,38.47453,48.8715062,11604.0655
Əbülfəz Fərzullayev Əmir,38.4712108,48.8708651,11604.7668
Coşqun Market Astara,38.47153,48.8695649,11604.2109
Vüqar Əşrəfbəyli Nizami,38.753295,48.8506934,11604.8652
Əzizə Kələntərli Saleh,38.7533,48.8504624,11604.8192
Rövşən Hüseynov Hüseynağa,38.7539064,48.8495329,11604.8651
Zamin Abdullayev Əlövsət,38.7538534,48.8494976,11604.8329
Aygül Market Astara,38.5995016,48.8485582,11604.0609
Fərhad Kərəmzadə Fərhad,38.753391,48.8480054,11604.8291
Mahir Nəsrullayev Akif,38.7619216,48.8415401,11604.865
Amid Haşimzadə Rasim,38.7579738,48.8403799,11604.8289
Ayaz Market Ramin Lənkəran,38.7586505,48.839994,11604.1901
İbo Market Lənkəran,38.7737532,48.8397807,11604.0951
Ayaz 2 Market Lənkəran,38.7595196,48.8384663,11604.0785
Rəsul Cabbarov Şiri,38.7406579,48.8325987,11604.8347
Seymur Market Astara,38.4985418,48.8310991,11604.0719
Anar Ağayev Əhmədağa,38.7782044,48.825331,11604.8404
Şamil Market Xaspolad-Oba kənd Xaçmaz,41.4848249,48.8247292,11604.2229
Onur Market Lənkəran,38.7388591,48.8230732,11604.2166
Elman Market Xaçmaz,41.4705355,48.8160977,11604.2266
